idx	accession	name	source_database	pfam	total	cumsum	result_num	selected_pfam	name_pfam
12	CL0020	TPR	pfam	401	401	840	27	PF03097	BRO1-like domain
629	CL0740	GCV_T_C	pfam	9	9	9535	2	PF09173	"Initiation factor eIF2 gamma, C terminal"
246	CL0289	FBD	pfam	3	3	7305	0	PF01571	Aminomethyltransferase folate-binding domain
12	CL0020	TPR	pfam	401	401	840	62	PF05282	AAR2 C-terminal repeat region
131	CL0159	E-set	pfam	431	431	4948	259	PF17812	RET Cadherin like domain 3
58	CL0072	Ubiquitin	pfam	99	99	2788	13	PF02597	ThiS family
100	CL0123	HTH	pfam	507	507	4041	206	PF09468	Ydr279p protein family (RNase H2 complex component) wHTH domain
301	CL0351	CHCH	pfam	8	8	7801	3	PF06747	CHCH domain
86	CL0105	Hybrid	pfam	93	93	3204	90	PF22042	Elongation factor G domain 2
426	CL0504	Phage_barrel	pfam	40	40	8614	26	PF16838	Caudoviral major tail protein N-terminus
224	CL0266	PH	pfam	107	107	7064	68	PF17339	PH domain
181	CL0219	RNase_H	pfam	91	91	6293	25	PF04493	Endonuclease V
124	CL0149	CoA-acyltrans	pfam	10	10	4461	1	PF00302	Chloramphenicol acetyltransferase
49	CL0063	NADP_Rossmann	pfam	278	278	2583	150	PF06100	MCRA family
142	CL0172	Thioredoxin	pfam	71	71	5233	27	PF07449	Hydrogenase-1 expression protein HyaE
202	CL0240	PFK	pfam	4	4	6711	0	PF00365	Phosphofructokinase
160	CL0193	MBB	pfam	130	130	5878	54	PF09411	Lipid A 3-O-deacylase (PagL)
12	CL0020	TPR	pfam	401	401	840	11	PF01417	ENTH domain
15	CL0023	P-loop_NTPase	pfam	265	265	1276	78	PF03308	Methylmalonyl Co-A mutase-associated GTPase MeaB
79	CL0097	TypeIII_Chap	pfam	12	12	3012	2	PF05932	Tir chaperone protein (CesT) family
199	CL0237	HD_PDEase	pfam	16	16	6701	11	PF13875	Domain of unknown function (DUF4202)
19	CL0028	AB_hydrolase	pfam	81	81	1399	0	PF00135	Carboxylesterase family
181	CL0219	RNase_H	pfam	91	91	6293	16	PF02870	"6-O-methylguanine DNA methyltransferase, ribonuclease-like domain"
131	CL0159	E-set	pfam	431	431	4948	269	PF17967	Pullulanase N2 domain
223	CL0265	HIT	pfam	16	16	6957	9	PF16269	Domain of unknown function (DUF4922)
58	CL0072	Ubiquitin	pfam	99	99	2788	5	PF00789	UBX domain
268	CL0315	Gx_transp	pfam	14	14	7487	13	PF20973	Vitamin uptake-like sensor
191	CL0229	RING	pfam	81	81	6500	45	PF14835	zf-RING of BARD1-type protein
23	CL0032	Dim_A_B_barrel	pfam	36	36	1542	34	PF22388	Domain of unknown function (DUF6974)
